user_id	Age	Gender	Occupation	ZipCode	userID	Occupation_Code
1	24	M	technician	85711	118	17
2	53	F	other	94043	229	0
3	23	M	writer	32067	269	20
4	24	M	technician	43537	267	17
5	33	F	other	15213	111	0
6	42	M	executive	98101	9	7
7	57	M	administrator	91344	38	3
8	36	M	administrator	05201	73	3
9	29	M	student	01002	293	10
10	53	M	lawyer	90703	39	11
11	39	F	other	30329	72	0
12	28	F	other	06405	304	0
13	47	M	educator	29206	58	1
14	45	M	scientist	55106	137	15
15	49	F	educator	97301	120	1
16	21	M	entertainment	10309	131	2
17	30	M	programmer	06355	247	12
18	35	F	other	37212	114	0
19	40	M	librarian	02138	109	1
20	42	F	homemaker	95660	57	9
21	26	M	writer	30068	175	20
22	25	M	writer	40206	2	20
23	30	F	artist	48197	153	2
24	21	F	artist	94533	246	2
25	39	M	engineer	55107	51	17
26	49	M	engineer	21044	115	17
27	40	F	librarian	30030	316	1
28	32	M	writer	55369	77	20
29	41	M	programmer	94043	235	12
30	7	M	student	55436	286	10
31	24	M	artist	10003	282	2
32	28	F	student	78741	79	10
33	23	M	student	27510	155	10
34	38	F	administrator	42141	277	3
35	20	F	homemaker	42459	274	9
36	19	F	student	93117	135	10
37	23	M	student	55105	237	10
38	28	F	other	54467	25	0
39	41	M	entertainment	01040	326	2
40	38	M	scientist	27514	305	15
41	33	M	engineer	80525	94	17
42	30	M	administrator	17870	55	3
43	29	F	librarian	20854	98	1
44	26	M	technician	46260	92	17
45	29	M	programmer	50233	200	12
46	27	F	marketing	46538	288	14
47	53	M	marketing	07102	241	14
48	45	M	administrator	12550	225	3
49	23	F	student	76111	105	10
50	21	M	writer	52245	29	20
51	28	M	educator	16509	279	1
52	18	F	student	55105	123	10
53	26	M	programmer	55414	249	12
54	22	M	executive	66315	130	7
55	37	M	programmer	01331	345	12
56	25	M	librarian	46260	119	1
57	16	M	none	84010	61	0
58	27	M	programmer	52246	88	12
59	49	M	educator	08403	52	1
60	50	M	healthcare	06472	60	6
61	36	M	engineer	30040	171	17
62	27	F	administrator	97214	10	3
63	31	M	marketing	75240	27	14
64	32	M	educator	43202	182	1
65	51	F	educator	48118	186	1
66	23	M	student	80521	113	10
67	17	M	student	60402	301	10
68	19	M	student	22904	107	10
69	24	M	engineer	55337	166	17
70	27	M	engineer	60067	136	17
71	39	M	scientist	98034	278	15
72	48	F	administrator	73034	53	3
73	24	M	student	41850	193	10
74	39	M	scientist	T8H1N	297	15
75	24	M	entertainment	08816	210	2
76	20	M	student	02215	263	10
77	30	M	technician	29379	157	17
78	26	M	administrator	61801	213	3
