user_id	Age	Gender	Occupation	ZipCode	userID	Occupation_Code
1	24	M	technician	85711	118	19
2	53	F	other	94043	229	13
3	23	M	writer	32067	269	20
4	24	M	technician	43537	267	19
5	33	F	other	15213	111	13
6	42	M	executive	98101	9	6
7	57	M	administrator	91344	38	0
8	36	M	administrator	05201	73	0
9	29	M	student	01002	293	18
10	53	M	lawyer	90703	39	9
11	39	F	other	30329	72	13
12	28	F	other	06405	304	13
13	47	M	educator	29206	58	3
14	45	M	scientist	55106	137	17
15	49	F	educator	97301	120	3
16	21	M	entertainment	10309	131	5
17	30	M	programmer	06355	247	14
18	35	F	other	37212	114	13
19	40	M	librarian	02138	109	10
20	42	F	homemaker	95660	57	8
21	26	M	writer	30068	175	20
22	25	M	writer	40206	2	20
23	30	F	artist	48197	153	1
24	21	F	artist	94533	246	1
25	39	M	engineer	55107	51	4
26	49	M	engineer	21044	115	4
27	40	F	librarian	30030	316	10
28	32	M	writer	55369	77	20
29	41	M	programmer	94043	235	14
30	7	M	student	55436	286	18
31	24	M	artist	10003	282	1
32	28	F	student	78741	79	18
33	23	M	student	27510	155	18
34	38	F	administrator	42141	277	0
35	20	F	homemaker	42459	274	8
36	19	F	student	93117	135	18
37	23	M	student	55105	237	18
38	28	F	other	54467	25	13
39	41	M	entertainment	01040	326	5
40	38	M	scientist	27514	305	17
41	33	M	engineer	80525	94	4
42	30	M	administrator	17870	55	0
43	29	F	librarian	20854	98	10
44	26	M	technician	46260	92	19
45	29	M	programmer	50233	200	14
46	27	F	marketing	46538	288	11
47	53	M	marketing	07102	241	11
48	45	M	administrator	12550	225	0
49	23	F	student	76111	105	18
50	21	M	writer	52245	29	20
51	28	M	educator	16509	279	3
52	18	F	student	55105	123	18
53	26	M	programmer	55414	249	14
54	22	M	executive	66315	130	6
55	37	M	programmer	01331	345	14
56	25	M	librarian	46260	119	10
57	16	M	none	84010	61	12
58	27	M	programmer	52246	88	14
59	49	M	educator	08403	52	3
60	50	M	healthcare	06472	60	7
61	36	M	engineer	30040	171	4
62	27	F	administrator	97214	10	0
63	31	M	marketing	75240	27	11
64	32	M	educator	43202	182	3
65	51	F	educator	48118	186	3
66	23	M	student	80521	113	18
67	17	M	student	60402	301	18
68	19	M	student	22904	107	18
69	24	M	engineer	55337	166	4
70	27	M	engineer	60067	136	4
71	39	M	scientist	98034	278	17
72	48	F	administrator	73034	53	0
73	24	M	student	41850	193	18
74	39	M	scientist	T8H1N	297	17
75	24	M	entertainment	08816	210	5
76	20	M	student	02215	263	18
77	30	M	technician	29379	157	19
78	26	M	administrator	61801	213	0
79	39	F	administrator	03755	209	0
80	34	F	administrator	52241	112	0
81	21	M	student	21218	49	18
82	50	M	programmer	22902	95	14
83	40	M	other	44133	127	13
84	32	M	executive	55369	99	6
85	51	M	educator	20003	102	3
86	26	M	administrator	46005	320	0
87	47	M	administrator	89503	54	0
88	49	F	librarian	11701	292	10
89	43	F	administrator	68106	243	0
90	60	M	educator	78155	80	3
91	55	M	marketing	01913	132	11
92	32	M	entertainment	80525	65	5
93	48	M	executive	23112	232	6
94	26	M	student	71457	90	18
95	31	M	administrator	10707	24	0
96	25	F	artist	75206	191	1
97	43	M	artist	98006	33	1
98	49	F	executive	90291	303	6
99	20	M	student	63129	46	18
100	36	M	executive	90254	142	6
101	15	M	student	05146	161	18
102	38	M	programmer	30220	26	14
103	26	M	student	55108	284	18
104	27	M	student	55108	167	18
105	24	M	engineer	94043	276	4
106	61	M	retired	55125	253	15
107	39	M	scientist	60466	217	17
108	44	M	educator	63130	240	3
109	29	M	other	55423	181	13
110	19	M	student	77840	87	18
111	57	M	engineer	90630	189	4
112	30	M	salesman	60613	163	16
113	47	M	executive	95032	146	6
114	27	M	programmer	75013	183	14
115	31	M	engineer	17110	6	4
116	40	M	healthcare	97232	192	7
117	20	M	student	16125	185	18
118	21	M	administrator	90210	214	0
119	32	M	programmer	67401	20	14
120	47	F	other	06260	287	13
121	54	M	librarian	99603	104	10
122	32	F	writer	22206	16	20
123	48	F	artist	20008	150	1
124	34	M	student	60615	250	18
125	30	M	lawyer	22202	126	9
126	28	F	lawyer	20015	203	9
127	33	M	none	73439	69	12
128	24	F	marketing	20009	91	11
129	36	F	marketing	07039	199	11
