item_id	Name	Genre	movieID
1193	One Flew Over the Cuckoo's Nest (1975)	Drama	0
661	James and the Giant Peach (1996)	Animation|Children's|Musical	1
914	My Fair Lady (1964)	Musical|Romance	2
3408	Erin Brockovich (2000)	Drama	3
2355	Bug's Life, A (1998)	Animation|Children's|Comedy	4
1197	Princess Bride, The (1987)	Action|Adventure|Comedy|Romance	5
1287	Ben-Hur (1959)	Action|Adventure|Drama	6
2804	Christmas Story, A (1983)	Comedy|Drama	7
594	Snow White and the Seven Dwarfs (1937)	Animation|Children's|Musical	8
919	Wizard of Oz, The (1939)	Adventure|Children's|Drama|Musical	9
595	Beauty and the Beast (1991)	Animation|Children's|Musical	10
938	Gigi (1958)	Musical	11
2398	Miracle on 34th Street (1947)	Drama	12
2918	Ferris Bueller's Day Off (1986)	Comedy	13
1035	Sound of Music, The (1965)	Musical	14
2791	Airplane! (1980)	Comedy	15
2687	Tarzan (1999)	Animation|Children's	16
2018	Bambi (1942)	Animation|Children's	17
3105	Awakenings (1990)	Drama	18
2797	Big (1988)	Comedy|Fantasy	19
2321	Pleasantville (1998)	Comedy	20
720	Wallace & Gromit: The Best of Aardman Animation (1996)	Animation	21
1270	Back to the Future (1985)	Comedy|Sci-Fi	22
527	Schindler's List (1993)	Drama|War	23
2340	Meet Joe Black (1998)	Romance	24
48	Pocahontas (1995)	Animation|Children's|Musical|Romance	25
1097	E.T. the Extra-Terrestrial (1982)	Children's|Drama|Fantasy|Sci-Fi	26
1721	Titanic (1997)	Drama|Romance	27
1545	Ponette (1996)	Drama	28
745	Close Shave, A (1995)	Animation|Comedy|Thriller	29
2294	Antz (1998)	Animation|Children's	30
3186	Girl, Interrupted (1999)	Drama	31
1566	Hercules (1997)	Adventure|Animation|Children's|Comedy|Musical	32
588	Aladdin (1992)	Animation|Children's|Comedy|Musical	33
1907	Mulan (1998)	Animation|Children's	34
783	Hunchback of Notre Dame, The (1996)	Animation|Children's|Musical	35
1836	Last Days of Disco, The (1998)	Drama	36
1022	Cinderella (1950)	Animation|Children's|Musical	37
