item_id	Category	itemID
34	Food & Restaurants|Drinks & Spirits	0
250	Food & Restaurants|Drinks & Spirits	1
759	Asian|Food & Restaurants	2
1085	Food & Restaurants	3
1122	Travel & Transportation	4
1431	Bars & Nightlife|Drinks & Spirits|Food & Restaurants	5
1664	Food & Restaurants	6
1902	Travel & Transportation	7
1943	Food & Restaurants	8
2001	Automotive|Travel & Transportation	9
2013	Food & Restaurants|Asian	10
2556	Asian|Food & Restaurants	11
2605	Bars & Nightlife|Food & Restaurants	12
3227	Arts & Entertainment	13
3538	Food & Restaurants|Bars & Nightlife	14
4015	Active Life & Fitness	15
4101	Food & Restaurants|Coffee,Tea & Desserts	16
4128	Food & Restaurants	17
4195	Shopping & Fashion	18
4261	Coffee,Tea & Desserts|Food & Restaurants	19
4417	Bars & Nightlife	20
4740	Food & Restaurants	21
4834	Public Services & Community	22
4878	Food & Restaurants	23
4901	Food & Restaurants|Bars & Nightlife	24
5001	Asian|Food & Restaurants	25
5205	Food & Restaurants	26
5413	Food & Restaurants	27
5595	Food & Restaurants	28
5796	Food & Restaurants|Asian	29
6040	Arts & Entertainment	30
6066	Arts & Entertainment|Bars & Nightlife|Event Services|Travel & Transportation	31
6416	Asian|Food & Restaurants	32
6638	Food & Restaurants	33
6656	Food & Restaurants|Coffee,Tea & Desserts|Specialty Food & Groceries	34
6714	Bars & Nightlife|Food & Restaurants|Coffee,Tea & Desserts	35
6741	Drinks & Spirits|Food & Restaurants|Asian	36
7097	Food & Restaurants|Coffee,Tea & Desserts	37
7196	Food & Restaurants|Asian	38
7304	Food & Restaurants	39
7317	Health & Beauty	40
7523	Arts & Entertainment	41
7662	Bars & Nightlife|Food & Restaurants	42
7733	Arts & Entertainment|Event Services|Travel & Transportation	43
7813	Drinks & Spirits|Food & Restaurants|Specialty Food & Groceries	44
7940	Food & Restaurants	45
8216	Food & Restaurants|Bars & Nightlife	46
8534	Shopping & Fashion	47
8683	Event Services|Food & Restaurants	48
8876	Coffee,Tea & Desserts|Food & Restaurants	49
8960	Food & Restaurants	50
8979	Food & Restaurants|Bars & Nightlife	51
9046	Food & Restaurants	52
9049	Food & Restaurants	53
9598	Coffee,Tea & Desserts|Food & Restaurants	54
9705	Food & Restaurants|Coffee,Tea & Desserts	55
10063	Food & Restaurants|Coffee,Tea & Desserts	56
10309	Food & Restaurants|Specialty Food & Groceries	57
10346	Coffee,Tea & Desserts|Food & Restaurants	58
10453	Food & Restaurants	59
10481	Food & Restaurants|Asian	60
11086	Asian|Food & Restaurants	61
11187	Food & Restaurants|Asian|Bars & Nightlife	62
11229	Food & Restaurants	63
11236	Food & Restaurants|Asian	64
11800	Food & Restaurants|Specialty Food & Groceries	65
11817	Food & Restaurants	66
11905	Arts & Entertainment|Sports & Recreation	67
12241	Asian|Food & Restaurants	68
12291	Arts & Entertainment|Public Services & Community|Food & Restaurants|Event Services|Specialty Food & Groceries	69
12462	Food & Restaurants|Bars & Nightlife	70
12523	Event Services|Food & Restaurants	71
12580	Food & Restaurants	72
12761	Asian|Bars & Nightlife|Food & Restaurants	73
13553	Arts & Entertainment|Event Services|Travel & Transportation	74
13586	Bars & Nightlife|Food & Restaurants	75
13869	Food & Restaurants|Coffee,Tea & Desserts	76
14086	Bars & Nightlife|Food & Restaurants	77
14092	Bars & Nightlife|Food & Restaurants	78
14110	Bars & Nightlife|Food & Restaurants|Asian	79
14111	Asian|Food & Restaurants	80
14360	Active Life & Fitness	81
14414	Coffee,Tea & Desserts|Food & Restaurants|Asian	82
14554	Food & Restaurants|Event Services	83
14892	Coffee,Tea & Desserts|Food & Restaurants	84
14903	Food & Restaurants|Specialty Food & Groceries	85
14998	Food & Restaurants	86
15567	Food & Restaurants|Coffee,Tea & Desserts|Asian	87
15693	Shopping & Fashion	88
15760	Food & Restaurants	89
15859	Food & Restaurants|Bars & Nightlife	90
15863	Food & Restaurants	91
15903	Food & Restaurants|Coffee,Tea & Desserts	92
16323	Asian|Food & Restaurants	93
16367	Food & Restaurants	94
16627	Asian|Food & Restaurants	95
16719	Food & Restaurants|Bars & Nightlife	96
17481	Food & Restaurants	97
17810	Health & Beauty|Shopping & Fashion	98
18127	Coffee,Tea & Desserts|Food & Restaurants|Asian	99
18128	Active Life & Fitness|Outdoor Activities|Arts & Entertainment|Miscellaneous	100
18327	Automotive|Shopping & Fashion	101
18739	Food & Restaurants|Asian	102
18800	Food & Restaurants|Bars & Nightlife|Event Services	103
18951	Bars & Nightlife|Shopping & Fashion	104
19009	Food & Restaurants	105
19038	Food & Restaurants	106
19107	Food & Restaurants|Coffee,Tea & Desserts	107
19390	Health & Beauty|Event Services|Travel & Transportation	108
19572	Asian|Miscellaneous|Food & Restaurants	109
19637	Arts & Entertainment|Health & Beauty|Event Services|Travel & Transportation	110
19712	Food & Restaurants|Asian	111
19893	Coffee,Tea & Desserts|Asian|Food & Restaurants	112
19911	Food & Restaurants	113
20050	Food & Restaurants|Coffee,Tea & Desserts	114
20179	Food & Restaurants	115
20373	Arts & Entertainment	116
20429	Food & Restaurants|Bars & Nightlife|Drinks & Spirits	117
20624	Automotive|Public Services & Community	118
20885	Food & Restaurants	119
20890	Food & Restaurants|Bars & Nightlife	120
21041	Bars & Nightlife|Food & Restaurants	121
21250	Bars & Nightlife|Drinks & Spirits|Food & Restaurants|Asian	122
21256	Food & Restaurants	123
21280	Food & Restaurants	124
21305	Food & Restaurants|Bars & Nightlife|Asian	125
21378	Asian|Bars & Nightlife|Drinks & Spirits|Food & Restaurants	126
21405	Health & Beauty|Food & Restaurants|Specialty Food & Groceries|Shopping & Fashion	127
21465	Food & Restaurants|Arts & Entertainment|Bars & Nightlife	128
21593	Food & Restaurants	129
21897	Asian|Food & Restaurants	130
22366	Bars & Nightlife|Food & Restaurants	131
22367	Food & Restaurants|Coffee,Tea & Desserts	132
22410	Food & Restaurants	133
22637	Arts & Entertainment|Food & Restaurants	134
22778	Food & Restaurants	135
22900	Food & Restaurants	136
22917	Food & Restaurants|Coffee,Tea & Desserts	137
22998	Food & Restaurants|Asian	138
23195	Coffee,Tea & Desserts|Food & Restaurants	139
23451	Food & Restaurants|Bars & Nightlife|Drinks & Spirits|Coffee,Tea & Desserts	140
23574	Food & Restaurants	141
23590	Food & Restaurants	142
23654	Arts & Entertainment|Food & Restaurants|Public Services & Community	143
23705	Coffee,Tea & Desserts|Food & Restaurants	144
23930	Food & Restaurants	145
24328	Food & Restaurants|Bars & Nightlife	146
24418	Food & Restaurants	147
24901	Food & Restaurants	148
25162	Food & Restaurants|Coffee,Tea & Desserts	149
25192	Event Services|Food & Restaurants	150
25452	Bars & Nightlife	151
25615	Bars & Nightlife|Food & Restaurants|Coffee,Tea & Desserts	152
25773	Food & Restaurants	153
26068	Bars & Nightlife|Event Services|Food & Restaurants	154
26240	Coffee,Tea & Desserts|Food & Restaurants|Specialty Food & Groceries	155
26699	Health & Beauty|Shopping & Fashion	156
27048	Food & Restaurants	157
27139	Food & Restaurants	158
27286	Food & Restaurants	159
27301	Food & Restaurants	160
27779	Food & Restaurants	161
27805	Arts & Entertainment|Event Services|Travel & Transportation	162
28195	Food & Restaurants	163
28597	Automotive|Bars & Nightlife|Food & Restaurants|Asian	164
28722	Food & Restaurants	165
28829	Food & Restaurants	166
28865	Food & Restaurants|Asian	167
28888	Food & Restaurants|Bars & Nightlife	168
28923	Food & Restaurants|Drinks & Spirits|Coffee,Tea & Desserts	169
28990	Arts & Entertainment|Bars & Nightlife|Event Services|Travel & Transportation	170
29243	Food & Restaurants	171
29605	Coffee,Tea & Desserts|Food & Restaurants	172
30040	Food & Restaurants|Travel & Transportation|Coffee,Tea & Desserts	173
30293	Food & Restaurants	174
30929	Food & Restaurants	175
31335	Coffee,Tea & Desserts|Food & Restaurants	176
31559	Active Life & Fitness|Public Services & Community|Event Services|Outdoor Activities|Travel & Transportation|Arts & Entertainment|Food & Restaurants	177
31690	Food & Restaurants	178
31968	Food & Restaurants	179
32280	Bars & Nightlife|Food & Restaurants	180
32807	Food & Restaurants|Coffee,Tea & Desserts	181
32886	Food & Restaurants|Asian	182
32894	Food & Restaurants	183
33219	Food & Restaurants	184
33952	Asian|Food & Restaurants	185
33966	Arts & Entertainment	186
33986	Food & Restaurants	187
34313	Asian|Food & Restaurants	188
34359	Food & Restaurants|Coffee,Tea & Desserts	189
34361	Active Life & Fitness|Outdoor Activities|Public Services & Community|Miscellaneous	190
34381	Food & Restaurants|Asian|Bars & Nightlife	191
34390	Food & Restaurants|Coffee,Tea & Desserts|Specialty Food & Groceries	192
34558	Food & Restaurants|Asian	193
34985	Asian|Food & Restaurants	194
35051	Food & Restaurants	195
35279	Asian|Food & Restaurants	196
35469	Food & Restaurants|Asian	197
35606	Bars & Nightlife|Food & Restaurants	198
35611	Arts & Entertainment|Event Services|Home & Garden|Shopping & Fashion	199
35629	Food & Restaurants|Drinks & Spirits	200
36368	Food & Restaurants|Bars & Nightlife	201
36377	Asian|Bars & Nightlife|Food & Restaurants	202
36501	Asian|Food & Restaurants	203
36564	Food & Restaurants	204
36568	Active Life & Fitness|Arts & Entertainment|Family & Kids|Public Services & Community|Event Services|Miscellaneous	205
36723	Food & Restaurants|Coffee,Tea & Desserts	206
37532	Coffee,Tea & Desserts|Food & Restaurants	207
37657	Arts & Entertainment	208
37772	Food & Restaurants|Asian	209
38042	Food & Restaurants	210
38258	Food & Restaurants|Asian|Drinks & Spirits|Bars & Nightlife	211
38308	Active Life & Fitness	212
38310	Food & Restaurants|Asian	213
38399	Travel & Transportation	214
38403	Food & Restaurants	215
39246	Arts & Entertainment	216
39384	Arts & Entertainment|Event Services|Travel & Transportation	217
39519	Asian|Food & Restaurants|Specialty Food & Groceries	218
39740	Food & Restaurants|Asian	219
39762	Food & Restaurants|Event Services	220
39882	Food & Restaurants	221
40005	Asian|Food & Restaurants	222
40033	Food & Restaurants|Coffee,Tea & Desserts	223
40101	Shopping & Fashion|Food & Restaurants	224
40129	Food & Restaurants	225
40134	Food & Restaurants	226
40408	Food & Restaurants|Asian	227
40515	Food & Restaurants	228
40516	Food & Restaurants	229
40614	Arts & Entertainment|Bars & Nightlife	230
40690	Food & Restaurants|Asian	231
40758	Arts & Entertainment|Bars & Nightlife|Drinks & Spirits|Food & Restaurants	232
40776	Food & Restaurants	233
41324	Food & Restaurants	234
41353	Food & Restaurants|Asian	235
41627	Food & Restaurants|Asian	236
41694	Food & Restaurants|Coffee,Tea & Desserts	237
42056	Food & Restaurants	238
42103	Food & Restaurants|Bars & Nightlife|Drinks & Spirits	239
42230	Asian|Food & Restaurants	240
42756	Food & Restaurants|Bars & Nightlife|Asian	241
42989	Asian|Food & Restaurants	242
42994	Food & Restaurants|Coffee,Tea & Desserts|Shopping & Fashion|Specialty Food & Groceries	243
43114	Food & Restaurants|Bars & Nightlife	244
43122	Active Life & Fitness|Arts & Entertainment|Outdoor Activities|Event Services	245
43434	Food & Restaurants|Arts & Entertainment|Bars & Nightlife|Drinks & Spirits	246
43519	Asian|Food & Restaurants	247
43534	Food & Restaurants	248
43702	Bars & Nightlife|Food & Restaurants	249
44398	Food & Restaurants|Coffee,Tea & Desserts	250
